CardName,Set,CardNumber,VariantType,Rarity,Count,IsFoil
Kylo Ren,LOF,001,Normal,Rare,1,False
Mother Talzin,LOF,002,Normal,Common,1,False
Ahsoka Tano,LOF,003,Normal,Common,1,False
Kanan Jarrus,LOF,004,Normal,Rare,1,False
Morgan Elsbeth,LOF,005,Normal,Rare,1,False
Supreme Leader Snoke,LOF,006,Normal,Common,1,False
Avar Kriss,LOF,007,Normal,Rare,1,False
Obi-Wan Kenobi,LOF,008,Normal,Common,1,False
Darth Maul,LOF,009,Normal,Special,1,False
Third Sister,LOF,010,Normal,Common,1,False
Kit Fisto,LOF,011,Normal,Common,1,False
Rey,LOF,012,Normal,Rare,1,False
Barriss Offee,LOF,013,Normal,Rare,1,False
Grand Inquisitor,LOF,014,Normal,Common,1,False
Cal Kestis,LOF,015,Normal,Common,1,False
Qui-Gon Jinn,LOF,016,Normal,Special,1,False
Darth Revan,LOF,017,Normal,Rare,1,False
Anakin Skywalker,LOF,018,Normal,Rare,1,False
Vergence Temple,LOF,019,Normal,Rare,1,False
Nightsister Lair,LOF,020,Normal,Common,1,False
Shadowed Undercity,LOF,021,Normal,Common,1,False
Mystic Monastery,LOF,022,Normal,Rare,1,False
Jedi Temple,LOF,023,Normal,Common,1,False
Starlight Temple,LOF,024,Normal,Common,1,False
Temple of Destruction,LOF,025,Normal,Rare,1,False
Fortress Vader,LOF,026,Normal,Common,1,False
Strangled Cliffs,LOF,027,Normal,Common,1,False
Tomb of Eilram,LOF,028,Normal,Rare,1,False
Crystal Caves,LOF,029,Normal,Common,1,False
The Holy City,LOF,030,Normal,Common,1,False
Karis,LOF,031,Normal,Uncommon,1,False
Magistrate's Scout,LOF,032,Normal,Common,1,False
Nameless Terror,LOF,033,Normal,Uncommon,1,False
Supremacy TIE sf,LOF,034,Normal,Common,1,False
Talzin's Assassin,LOF,035,Normal,Common,1,False
Old Daka,LOF,036,Normal,Uncommon,1,False
Darth Vader,LOF,037,Normal,Legendary,1,False
Pong Krell,LOF,038,Normal,Rare,1,False
Darth Sidious,LOF,039,Normal,Special,1,False
Kylo Ren's Lightsaber,LOF,040,Normal,Rare,1,False
Drain Essence,LOF,041,Normal,Common,1,False
Always Two,LOF,042,Normal,Legendary,1,False
The Tragedy of Plagueis,LOF,043,Normal,Rare,1,False
Loth-Wolf,LOF,044,Normal,Common,1,False
Yaddle,LOF,045,Normal,Rare,1,False
Ezra Bridger,LOF,046,Normal,Uncommon,1,False
T-6 Shuttle 1974,LOF,047,Normal,Rare,1,False
Itinerant Warrior,LOF,048,Normal,Common,1,False
Jedi Guardian,LOF,049,Normal,Common,1,False
Plo Koon,LOF,050,Normal,Uncommon,1,False
Jedi Holocron,LOF,051,Normal,Rare,1,False
Jedi Trials,LOF,052,Normal,Rare,1,False
Heirloom Lightsaber,LOF,053,Normal,Common,1,False
Calm in the Storm,LOF,054,Normal,Uncommon,1,False
Dume,LOF,055,Normal,Rare,1,False
Size Matters Not,LOF,056,Normal,Rare,1,False
Owen Lars,LOF,057,Normal,Uncommon,1,False
Guardian of the Whills,LOF,058,Normal,Common,1,False
Nightsister Warrior,LOF,059,Normal,Common,1,False
Padawan Starfighter,LOF,060,Normal,Common,1,False
Secretive Sage,LOF,061,Normal,Common,1,False
Axe Woves,LOF,062,Normal,Rare,1,False
Oggdo Bogdo,LOF,063,Normal,Rare,1,False
Tauntaun,LOF,064,Normal,Common,1,False
Watto,LOF,065,Normal,Uncommon,1,False
Awakened Specters,LOF,066,Normal,Common,1,False
Chirrut Imwe,LOF,067,Normal,Uncommon,1,False
Luthen Rael,LOF,068,Normal,Uncommon,1,False
Graceful Purrgil,LOF,069,Normal,Common,1,False
Anakin Skywalker,LOF,070,Normal,Legendary,1,False
Grappling Guardian,LOF,071,Normal,Common,1,False
Priestesses of the Force,LOF,072,Normal,Uncommon,1,False
Mythosaur,LOF,073,Normal,Legendary,1,False
Bolstered Endurance,LOF,074,Normal,Common,1,False
Cure Wounds,LOF,075,Normal,Common,1,False
Soresu Stance,LOF,076,Normal,Uncommon,1,False
Crushing Blow,LOF,077,Normal,Common,1,False
Whirlwind of Power,LOF,078,Normal,Common,1,False
Shatterpoint,LOF,079,Normal,Uncommon,1,False
Exegol Patroller,LOF,080,Normal,Common,1,False
Sith Legionnaire,LOF,081,Normal,Uncommon,1,False
Vanee,LOF,082,Normal,Uncommon,1,False
Captain Enoch,LOF,083,Normal,Rare,1,False
Knight of Ren,LOF,084,Normal,Common,1,False
Praetorian Guard,LOF,085,Normal,Common,1,False
Drengir Spawn,LOF,086,Normal,Rare,1,False
Eighth Brother,LOF,087,Normal,Uncommon,1,False
Eye of Sion,LOF,088,Normal,Rare,1,False
Supremacy,LOF,089,Normal,Legendary,1,False
Inquisitor's Lightsaber,LOF,090,Normal,Common,1,False
Craving Power,LOF,091,Normal,Rare,1,False
Point Rain Reclaimer,LOF,092,Normal,Common,1,False
Gungi,LOF,093,Normal,Uncommon,1,False
Jedi Consular,LOF,094,Normal,Common,1,False
Lor San Tekka,LOF,095,Normal,Uncommon,1,False
Obi-Wan Kenobi,LOF,096,Normal,Special,1,False
Eeth Koth,LOF,097,Normal,Rare,1,False
Leia Organa,LOF,098,Normal,Legendary,1,False
Paladin Training Corvette,LOF,099,Normal,Common,1,False
Kelleran Beq,LOF,100,Normal,Uncommon,1,False
Yoda,LOF,101,Normal,Legendary,1,False
Yoda's Lightsaber,LOF,102,Normal,Rare,1,False
Following the Path,LOF,103,Normal,Common,1,False
Luminous Beings,LOF,104,Normal,Rare,1,False
Oppo Rancisis,LOF,105,Normal,Legendary,1,False
Acclamator Assault Ship,LOF,106,Normal,Uncommon,1,False
Village Tender,LOF,107,Normal,Common,1,False
Malakili,LOF,108,Normal,Rare,1,False
Mynock,LOF,109,Normal,Common,1,False
Hive Defense Wing,LOF,110,Normal,Common,1,False
Maz Kanata,LOF,111,Normal,Uncommon,1,False
Outer Rim Mystic,LOF,112,Normal,Common,1,False
Jedi Temple Guards,LOF,113,Normal,Common,1,False
Kaadu,LOF,114,Normal,Common,1,False
Dagoyan Master,LOF,115,Normal,Uncommon,1,False
Relic Scavenger,LOF,116,Normal,Common,1,False
Sifo-Dyas,LOF,117,Normal,Rare,1,False
Terentatek,LOF,118,Normal,Common,1,False
Hyperspace Wayfarer,LOF,119,Normal,Common,1,False
Trident Assault Ship,LOF,120,Normal,Common,1,False
The Purrgil King,LOF,121,Normal,Rare,1,False
Pillio Star Compass,LOF,122,Normal,Uncommon,1,False
Directed by the Force,LOF,123,Normal,Uncommon,1,False
Niman Strike,LOF,124,Normal,Uncommon,1,False
The Burden of Masters,LOF,125,Normal,Rare,1,False
Overpower,LOF,126,Normal,Common,1,False
Rampage,LOF,127,Normal,Uncommon,1,False
Protect the Pod,LOF,128,Normal,Common,1,False
Acolyte of the Beyond,LOF,129,Normal,Common,1,False
HK-47,LOF,130,Normal,Legendary,1,False
Strikeship,LOF,131,Normal,Common,1,False
Grand Inquisitor,LOF,132,Normal,Legendary,1,False
Purge Trooper,LOF,133,Normal,Common,1,False
Heavy Missile Gunship,LOF,134,Normal,Uncommon,1,False
Scythe,LOF,135,Normal,Rare,1,False
Thralls of the Coven,LOF,136,Normal,Common,1,False
Savage Opress,LOF,137,Normal,Uncommon,1,False
Sith Holocron,LOF,138,Normal,Rare,1,False
Battle Fury,LOF,139,Normal,Uncommon,1,False
Darth Maul's Lightsaber,LOF,140,Normal,Special,1,False
Death Field,LOF,141,Normal,Rare,1,False
Adi Gallia,LOF,142,Normal,Rare,1,False
Attuned Fyrnock,LOF,143,Normal,Common,1,False
Jedi Starfighter,LOF,144,Normal,Common,1,False
Jedi Knight,LOF,145,Normal,Common,1,False
Ki-Adi-Mundi,LOF,146,Normal,Uncommon,1,False
Kit Fisto's Aethersprite,LOF,147,Normal,Rare,1,False
Rey,LOF,148,Normal,Rare,1,False
Mace Windu,LOF,149,Normal,Uncommon,1,False
Cin Drallig,LOF,150,Normal,Legendary,1,False
Knight's Saber,LOF,151,Normal,Common,1,False
Focus Determines Reality,LOF,152,Normal,Uncommon,1,False
Paz Vizsla,LOF,153,Normal,Rare,1,False
Witch of the Mist,LOF,154,Normal,Common,1,False
DRK-1 Probe Droid,LOF,155,Normal,Common,1,False
Infused Brawler,LOF,156,Normal,Uncommon,1,False
Cartel Interceptor,LOF,157,Normal,Common,1,False
Hyena Bomber,LOF,158,Normal,Common,1,False
Jedi in Hiding,LOF,159,Normal,Common,1,False
Merrin,LOF,160,Normal,Uncommon,1,False
Tuk'ata,LOF,161,Normal,Common,1,False
Hunting Nexu,LOF,162,Normal,Common,1,False
Quinlan Vos,LOF,163,Normal,Uncommon,1,False
Wampa,LOF,164,Normal,Common,1,False
Asajj Ventress,LOF,165,Normal,Uncommon,1,False
Blockade Runner,LOF,166,Normal,Uncommon,1,False
Saesee Tiin,LOF,167,Normal,Uncommon,1,False
Ravenous Rathtar,LOF,168,Normal,Common,1,False
Invasion Control Ship,LOF,169,Normal,Rare,1,False
Bendu,LOF,170,Normal,Legendary,1,False
Heavy Blaster Cannon,LOF,171,Normal,Rare,1,False
Sorcerous Blast,LOF,172,Normal,Common,1,False
Unleash Rage,LOF,173,Normal,Common,1,False
Ataru Onslaught,LOF,174,Normal,Uncommon,1,False
Do or Do Not,LOF,175,Normal,Common,1,False
Lightsaber Throw,LOF,176,Normal,Uncommon,1,False
Time of Crisis,LOF,177,Normal,Rare,1,False
Adept of Anger,LOF,178,Normal,Common,1,False
Aurra Sing,LOF,179,Normal,Uncommon,1,False
Deceptive Shade,LOF,180,Normal,Rare,1,False
Banking Clan Shuttle,LOF,181,Normal,Common,1,False
Nihil Marauder,LOF,182,Normal,Common,1,False
Shin Hati,LOF,183,Normal,Uncommon,1,False
Second Sister,LOF,184,Normal,Rare,1,False
Baylan Skoll,LOF,185,Normal,Uncommon,1,False
Marchion Ro,LOF,186,Normal,Legendary,1,False
Corrupted Saber,LOF,187,Normal,Common,1,False
As I Have Foreseen,LOF,188,Normal,Rare,1,False
Liberated by Darkness,LOF,189,Normal,Rare,1,False
Anakin Skywalker,LOF,190,Normal,Special,1,False
BD-1,LOF,191,Normal,Uncommon,1,False
N-1 Starfighter,LOF,192,Normal,Common,1,False
Youngling Padawan,LOF,193,Normal,Common,1,False
J-Type Nubian Starship,LOF,194,Normal,Common,1,False
Vernestra Rwoh,LOF,195,Normal,Rare,1,False
Jedi Sentinel,LOF,196,Normal,Common,1,False
Qui-Gon Jinn's Aethersprite,LOF,197,Normal,Special,1,False
Stinger Mantis,LOF,198,Normal,Uncommon,1,False
Depa Billaba,LOF,199,Normal,Uncommon,1,False
Qui-Gon Jinn,LOF,200,Normal,Legendary,1,False
Qui-Gon Jinn's Lightsaber,LOF,201,Normal,Special,1,False
Mind Trick,LOF,202,Normal,Rare,1,False
Premonition of Doom,LOF,203,Normal,Rare,1,False
Zuckuss,LOF,204,Normal,Legendary,1,False
Force Speed,LOF,205,Normal,Uncommon,1,False
Babu Frik,LOF,206,Normal,Rare,1,False
Loth-Cat,LOF,207,Normal,Common,1,False
Mysterious Hermit,LOF,208,Normal,Common,1,False
Tusken Tracker,LOF,209,Normal,Common,1,False
Charging Phillak,LOF,210,Normal,Common,1,False
Dooku,LOF,211,Normal,Uncommon,1,False
Life Wind Sage,LOF,212,Normal,Common,1,False
The Legacy Run,LOF,213,Normal,Legendary,1,False
Sorcerers of Tund,LOF,214,Normal,Common,1,False
Ascension Cable,LOF,215,Normal,Common,1,False
Disturbance in the Force,LOF,216,Normal,Common,1,False
Force Slow,LOF,217,Normal,Common,1,False
Impossible Escape,LOF,218,Normal,Uncommon,1,False
Psychometry,LOF,219,Normal,Rare,1,False
Shien Flurry,LOF,220,Normal,Uncommon,1,False
Trust Your Instincts,LOF,221,Normal,Rare,1,False
A Precarious Predicament,LOF,222,Normal,Uncommon,1,False
Force Illusion,LOF,223,Normal,Uncommon,1,False
Pounce,LOF,224,Normal,Common,1,False
Three Lessons,LOF,225,Normal,Uncommon,1,False
Tip the Scale,LOF,226,Normal,Common,1,False
The Will of the Force,LOF,227,Normal,Common,1,False
Forged Starfighter,LOF,228,Normal,Common,1,False
Kylo Ren,LOF,229,Normal,Uncommon,1,False
Fallen Jedi,LOF,230,Normal,Common,1,False
Darth Tyranus,LOF,231,Normal,Special,1,False
Sandtrooper Cavalry,LOF,232,Normal,Common,1,False
Scimitar,LOF,233,Normal,Special,1,False
Darth Malak,LOF,234,Normal,Legendary,1,False
HK-87 Assassin Droid,LOF,235,Normal,Uncommon,1,False
Army of the Dead,LOF,236,Normal,Common,1,False
The Son,LOF,237,Normal,Rare,1,False
Darth Revan's Lightsabers,LOF,238,Normal,Rare,1,False
Consumed by the Dark Side,LOF,239,Normal,Common,1,False
Flight of the Inquisitor,LOF,240,Normal,Uncommon,1,False
In the Shadows,LOF,241,Normal,Common,1,False
Refugee of the Path,LOF,242,Normal,Common,1,False
Caretaker Matron,LOF,243,Normal,Uncommon,1,False
Jedi Vector,LOF,244,Normal,Uncommon,1,False
Vulptex,LOF,245,Normal,Common,1,False
Grogu,LOF,246,Normal,Legendary,1,False
Gungan Warrior,LOF,247,Normal,Common,1,False
Jocasta Nu,LOF,248,Normal,Uncommon,1,False
Luke Skywalker,LOF,249,Normal,Rare,1,False
Medical Frigate,LOF,250,Normal,Common,1,False
Blue Squadron Assault Wing,LOF,251,Normal,Common,1,False
The Daughter,LOF,252,Normal,Rare,1,False
Longbeam Cruiser,LOF,253,Normal,Common,1,False
Porg,LOF,254,Normal,Common,1,False
Curious Flock,LOF,255,Normal,Common,1,False
Gifted Urchin,LOF,256,Normal,Common,1,False
Kowakian Monkey-Lizard,LOF,257,Normal,Common,1,False
Peli Motto,LOF,258,Normal,Uncommon,1,False
Ravening Gundark,LOF,259,Normal,Common,1,False
The Father,LOF,260,Normal,Legendary,1,False
Constructed Lightsaber,LOF,261,Normal,Legendary,1,False
Go Into Hiding,LOF,262,Normal,Common,1,False
Last Words,LOF,263,Normal,Common,1,False
It's Worse,LOF,264,Normal,Common,1,False
Kylo Ren,LOF,265,Hyperspace,Rare,1,False
Mother Talzin,LOF,266,Hyperspace,Common,1,False
Ahsoka Tano,LOF,267,Hyperspace,Common,1,False
Kanan Jarrus,LOF,268,Hyperspace,Rare,1,False
Morgan Elsbeth,LOF,269,Hyperspace,Rare,1,False
Supreme Leader Snoke,LOF,270,Hyperspace,Common,1,False
Avar Kriss,LOF,271,Hyperspace,Rare,1,False
Obi-Wan Kenobi,LOF,272,Hyperspace,Common,1,False
Darth Maul,LOF,273,Hyperspace,Special,1,False
Third Sister,LOF,274,Hyperspace,Common,1,False
Kit Fisto,LOF,275,Hyperspace,Common,1,False
Rey,LOF,276,Hyperspace,Rare,1,False
Barriss Offee,LOF,277,Hyperspace,Rare,1,False
